Retention time,Abundance
0.087,13143
0.091,12548
0.094,12582
0.097,12233
0.1,11024
0.104,12058
0.107,10516
0.11,10935
0.114,10832
0.117,10095
0.12,10138
0.123,10822
0.127,9009
0.13,9188
0.133,8640
0.136,7871
0.14,8552
0.143,7976
0.146,8705
0.15,7661
0.153,7970
0.156,7713
0.159,6632
0.163,7978
0.166,6875
0.169,7125
0.173,7630
0.176,7414
0.179,6525
0.182,6085
0.186,6880
0.189,5872
0.192,6365
0.196,6631
0.199,6666
0.202,5934
0.205,5958
0.209,5386
0.212,5160
0.215,5438
0.218,6160
0.222,5607
0.225,4923
0.228,4597
0.232,3797
0.235,5188
0.238,4603
0.241,4733
0.245,4021
0.248,4261
0.251,4535
0.255,4229
0.258,4854
0.261,3383
0.264,4334
0.268,4136
0.271,5130
0.274,3618
0.277,4790
0.281,4030
0.284,3829
0.287,3910
0.291,4291
0.294,4108
0.297,4206
0.3,4040
0.304,4009
0.307,3148
0.31,4287
0.314,3794
0.317,3636
0.32,3521
0.323,3281
0.327,3301
0.33,3063
0.333,2969
0.337,3439
0.34,3590
0.343,4128
0.346,3211
0.35,3973
0.353,3354
0.356,3124
0.359,3091
0.363,2682
0.366,3335
0.369,2489
0.373,3020
0.376,2135
0.379,2891
0.382,3289
0.386,2378
0.389,2956
0.392,2962
0.396,3284
0.399,3283
0.402,2525
0.405,3204
0.409,2980
0.412,2369
0.415,2528
0.419,2672
0.422,2431
0.425,2773
0.428,1920
0.432,2191
0.435,2615
0.438,1998
0.441,2288
0.445,2196
0.448,1840
0.451,2995
0.455,2759
0.458,2377
0.461,2772
0.464,2278
0.468,1912
0.471,2452
0.474,2425
0.478,2536
0.481,2617
0.484,1917
0.487,2177
0.491,2684
0.494,2401
0.497,2616
0.5,1840
0.504,2757
0.507,2241
0.51,2306
0.514,2245
0.517,2002
0.52,2308
0.523,2639
0.527,2054
0.53,2396
0.533,1987
0.537,1823
0.54,2280
0.543,2298
0.546,2110
0.55,2517
0.553,1848
0.556,2086
0.56,2468
0.563,2165
0.566,1743
0.569,3031
0.573,2259
0.576,2113
0.579,2063
0.582,2376
0.586,1708
0.589,1913
0.592,1895
0.596,2109
0.599,1722
0.602,2107
0.605,2278
0.609,1538
0.612,1818
0.615,2519
0.619,1865
0.622,1187
0.625,1703
0.628,2122
0.632,1812
0.635,2483
0.638,2060
0.642,2235
0.645,1945
0.648,1732
0.651,1556
0.655,2086
0.658,2204
0.661,1963
0.664,1692
0.668,2450
0.671,2012
0.674,2061
0.678,1705
0.681,1957
0.684,1614
0.687,1791
0.691,1611
0.694,2002
0.697,1893
0.701,1788
0.704,1933
0.707,1608
0.71,1939
0.714,2236
0.717,1912
0.72,1636
0.723,1812
0.727,1335
0.73,1713
0.733,2169
0.737,1175
0.74,1300
0.743,1595
0.746,2221
0.75,1713
0.753,1600
0.756,1514
0.76,1820
0.763,1143
0.766,2022
0.769,2033
0.773,1651
0.776,1519
0.779,1839
0.783,1993
0.786,1279
0.789,1466
0.792,1660
0.796,1386
0.799,1486
0.802,1993
0.805,1285
0.809,1622
0.812,1629
0.815,1946
0.819,1917
0.822,1348
0.825,1593
0.828,1368
0.832,2529
0.835,1285
0.838,1372
0.842,1309
0.845,1557
0.848,1741
0.851,1186
0.855,2166
0.858,2043
0.861,2110
0.864,2036
0.868,1846
0.871,1513
0.874,1816
0.878,1065
0.881,1605
0.884,1606
0.887,1999
0.891,1293
0.894,1581
0.897,1661
0.901,1466
0.904,1930
0.907,1974
0.91,1318
0.914,1912
0.917,1861
0.92,1790
0.924,1353
0.927,1471
0.93,1525
0.933,1496
0.937,1738
0.94,1437
0.943,1630
0.946,1364
0.95,1288
0.953,1612
0.956,1486
0.96,1378
0.963,1788
0.966,1379
0.969,1613
0.973,1469
0.976,1280
0.979,1727
0.983,1846
0.986,2113
0.989,1220
0.992,1946
0.996,1256
0.999,1255
1.002,967
1.006,1729
1.009,1285
1.012,1992
1.015,1468
1.019,1842
1.022,1305
1.025,1359
1.028,1206
1.032,1441
1.035,2082
1.038,1650
1.042,1287
1.045,1378
1.048,1452
1.051,1403
1.055,1304
1.058,1313
1.061,1135
1.065,1286
1.068,1156
1.071,1271
1.074,1141
1.078,1483
1.081,1573
1.084,1271
1.087,1436
1.091,1470
1.094,1577
1.097,1228
1.101,1406
1.104,1423
1.107,1569
1.11,1295
1.114,1739
1.117,1115
1.12,2217
1.124,1473
1.127,1371
1.13,1464
1.133,1269
1.137,1225
1.14,1576
1.143,1560
1.147,1250
1.15,1170
1.153,1590
1.156,1296
1.16,1117
1.163,1057
1.166,1545
1.169,1468
1.173,1808
1.176,1325
1.179,1104
1.183,1628
1.186,1435
1.189,1127
1.192,1435
1.196,1535
1.199,1214
1.202,1503
1.206,1144
1.209,1925
1.212,1542
1.215,1208
1.219,1584
1.222,1297
1.225,1037
1.228,1903
1.232,1254
1.235,1414
1.238,1434
1.242,1147
1.245,1279
1.248,1446
1.251,1592
1.255,1393
1.258,1324
1.261,1310
1.265,1469
1.268,1111
1.271,1475
1.274,1236
1.278,937
1.281,1394
1.284,1273
1.288,1368
1.291,1568
1.294,1171
1.297,1120
1.301,1497
1.304,1964
1.307,1504
1.31,1330
1.314,1593
1.317,1430
1.32,1120
1.324,1523
1.327,1427
1.33,1119
1.333,1467
1.337,1631
1.34,1236
1.343,1678
1.347,1154
1.35,1248
1.353,1347
1.356,1532
1.36,1342
1.363,1398
1.366,1309
1.37,1344
1.373,1355
1.376,1416
1.379,1480
1.383,1315
1.386,1316
1.389,1619
1.392,1495
1.396,1267
1.399,1295
1.402,1636
1.406,1477
1.409,1432
1.412,1375
1.415,1306
1.419,1248
1.422,1795
1.425,1176
1.429,1266
1.432,2116
1.435,1436
1.438,1265
1.442,1905
1.445,1517
1.448,2056
1.451,1255
1.455,1196
1.458,1494
1.461,1643
1.465,1095
1.468,1086
1.471,1597
1.474,1054
1.478,1512
1.481,1685
1.484,1324
1.488,1343
1.491,1223
1.494,1280
1.497,1435
1.501,1274
1.504,1526
1.507,1036
1.511,1531
1.514,1269
1.517,1821
1.52,1242
1.524,998
1.527,1350
1.53,1707
1.533,1422
1.537,1343
1.54,1312
1.543,1328
1.547,1477
1.55,1351
1.553,1295
1.556,1279
1.56,1176
1.563,1275
1.566,1311
1.57,1478
1.573,1665
1.576,1150
1.579,1194
1.583,1374
1.586,1695
1.589,1079
1.592,1087
1.596,1619
1.599,1272
1.602,1017
1.606,1257
1.609,1118
1.612,1442
1.615,1170
1.619,1746
1.622,1328
1.625,1690
1.629,1335
1.632,1408
1.635,1183
1.638,1313
1.642,1294
1.645,1121
1.648,1133
1.652,1369
1.655,1286
1.658,1846
1.661,1429
1.665,1478
1.668,1583
1.671,1595
1.674,1496
1.678,1103
1.681,1417
1.684,1369
1.688,1117
1.691,1178
1.694,1046
1.697,1396
1.701,1034
1.704,1249
1.707,1201
1.711,1316
1.714,1281
1.717,1302
1.72,1171
1.724,1218
1.727,1254
1.73,946
1.734,1194
1.737,1310
1.74,1507
1.743,1378
1.747,971
1.75,1032
1.753,1357
1.756,1318
1.76,1381
1.763,1332
1.766,1611
1.77,1201
1.773,1267
1.776,1540
1.779,1420
1.783,1411
1.786,1476
1.789,1489
1.793,1562
1.796,1471
1.799,1344
1.802,1286
1.806,1574
1.809,1187
1.812,1439
1.815,1740
1.819,1276
1.822,1177
1.825,1190
1.829,1174
1.832,1208
1.835,1305
1.838,1344
1.842,1186
1.845,1053
1.848,1413
1.852,1244
1.855,1412
1.858,1187
1.861,1282
1.865,1193
1.868,1339
1.871,1551
1.875,1800
1.878,1489
1.881,1343
1.884,1376
1.888,1614
1.891,1328
1.894,1483
1.897,1393
1.901,1272
1.904,1529
1.907,1442
