Retention time,Abundance
2.494,2131089
2.498,1721669
2.502,1299734
2.506,942111
2.509,686979
2.513,525238
2.517,442513
2.52,406194
2.524,382809
2.528,359893
2.531,329075
2.535,288076
2.539,252069
2.543,221562
2.546,195129
2.55,169979
2.554,145661
2.557,123221
2.561,104392
2.565,90152
2.568,80709
2.572,75272
2.576,72976
2.579,72295
2.583,71994
2.587,71398
2.591,69274
2.594,65447
2.598,61170
2.602,57896
2.605,55370
2.609,53920
2.613,56126
2.616,67391
2.62,88161
2.624,108106
2.628,116952
2.631,113312
2.635,103996
2.639,93207
2.642,82519
2.646,73463
2.65,66846
2.653,63262
2.657,62326
2.661,63213
2.664,65458
2.668,67868
2.672,70248
2.676,73330
2.679,76258
2.683,77369
2.687,76013
2.69,71999
2.694,65976
2.698,59904
2.701,55476
2.705,53121
2.709,51417
2.713,49923
2.716,48998
2.72,49693
2.724,52654
2.727,59108
2.731,70646
2.735,89590
2.738,122841
2.742,184200
2.746,276120
2.749,402345
2.753,538026
2.757,651140
2.761,696689
2.764,663288
2.768,579043
2.772,472413
2.775,375855
2.779,293875
2.783,236490
2.786,193646
2.79,158824
2.794,129593
2.798,106325
2.801,89492
2.805,78559
2.809,72472
2.812,69715
2.816,69497
2.82,70794
2.823,73574
2.827,77270
2.831,80102
2.834,80477
2.838,79725
2.842,81493
2.846,92316
2.849,121400
2.853,178878
2.857,273040
2.86,416661
2.864,612110
2.868,871512
2.871,1220681
2.875,1647153
2.879,2066285
2.883,2364081
2.886,2453497
2.89,2310357
2.894,2036239
2.897,1807023
2.901,1796774
2.905,2055674
2.908,2493922
2.912,2904541
2.916,3091978
2.919,2973107
2.923,2608428
2.927,2151840
2.931,1760334
2.934,1527612
2.938,1460709
2.942,1490902
2.945,1520220
2.949,1473340
2.953,1326305
2.956,1106256
2.96,865347
2.964,647141
2.968,473462
2.971,344265
2.975,256713
2.979,196114
2.982,153579
2.986,123808
2.99,102749
2.993,87526
2.997,76506
3.001,70448
3.004,73941
3.008,88523
3.012,133764
3.016,241791
3.019,471230
3.023,872301
3.027,1455434
3.03,2137710
3.034,2747169
3.038,3092724
3.041,3078259
3.045,2739368
3.049,2209698
3.052,1647149
3.056,1162501
3.06,800854
3.064,558136
3.067,401789
3.071,304758
3.075,240466
3.078,194975
3.082,159867
3.086,131487
3.089,108858
3.093,90830
3.097,76736
3.101,66463
3.104,59066
3.108,54542
3.112,54185
3.115,59530
3.119,71186
3.123,87320
3.126,104531
3.13,118066
3.134,124344
3.137,122841
3.141,119555
3.145,125281
3.149,152396
3.152,211213
3.156,304953
3.16,411618
3.163,504759
3.167,556217
3.171,552717
3.174,504165
3.178,439119
3.182,395215
3.186,416349
3.189,557530
3.193,915760
3.197,1584639
3.2,2629781
3.204,3968869
3.208,5340408
3.211,6388441
3.215,6823193
3.219,6553666
3.222,5710700
3.226,4565338
3.23,3408373
3.234,2445842
3.237,1756702
3.241,1317260
3.245,1056655
3.248,903289
3.252,801889
3.256,715389
3.259,624956
3.263,527910
3.267,426984
3.271,338390
3.274,265339
3.278,211030
3.282,173307
3.285,148391
3.289,133351
3.293,124473
3.296,118184
3.3,110472
3.304,99816
3.307,88640
3.311,79492
3.315,72920
3.319,67248
3.322,61388
3.326,56180
3.33,51606
3.333,47350
3.337,43811
3.341,41134
3.344,38997
3.348,37234
3.352,36077
3.356,36108
3.359,37463
3.363,41023
3.367,47616
3.37,56926
3.374,68346
3.378,78999
3.381,85539
3.385,86138
3.389,83872
3.392,87983
3.396,115977
3.4,197906
3.404,370259
3.407,657513
3.411,1030457
3.415,1415915
3.418,1709998
3.422,1825100
3.426,1737943
3.429,1501319
3.433,1201735
3.437,910073
3.441,667055
3.444,483714
3.448,351308
3.452,261500
3.455,201567
3.459,164500
3.463,143600
