Retention time,Abundance
2.495,207837
2.498,183925
2.502,164651
2.506,148589
2.509,135357
2.513,124831
2.517,116252
2.52,108710
2.524,101894
2.528,96065
2.532,90945
2.535,85882
2.539,80919
2.543,76745
2.546,72836
2.55,69521
2.554,67248
2.557,65592
2.561,64065
2.565,62435
2.568,61317
2.572,60185
2.576,58713
2.58,57587
2.583,56958
2.587,56564
2.591,55881
2.594,55217
2.598,54518
2.602,54009
2.605,54446
2.609,58304
2.613,69156
2.617,85811
2.62,100763
2.624,107012
2.628,104202
2.631,96559
2.635,87751
2.639,79471
2.642,73120
2.646,68104
2.65,64812
2.653,62080
2.657,59530
2.661,57732
2.665,56872
2.668,56654
2.672,56653
2.676,56348
2.679,55628
2.683,54561
2.687,53332
2.69,52261
2.694,51423
2.698,50570
2.702,49915
2.705,49155
2.709,48427
2.713,47965
2.716,48115
2.72,48792
2.724,50411
2.727,53604
2.731,59392
2.735,68374
2.738,79040
2.742,89612
2.746,98110
2.75,102652
2.753,102330
2.757,98824
2.761,92637
2.764,86007
2.768,80029
2.772,74551
2.775,69140
2.779,64496
2.783,60345
2.786,56978
2.79,54432
2.794,52384
2.798,50465
2.801,48773
2.805,47070
2.809,46015
2.812,45527
2.816,45352
2.82,45201
2.823,45094
2.827,44684
2.831,44405
2.835,44551
2.838,45508
2.842,47360
2.846,49703
2.849,52479
2.853,56433
2.857,62261
2.86,70984
2.864,83795
2.868,102395
2.871,125051
2.875,147010
2.879,162643
2.883,170411
2.886,173289
2.89,177284
2.894,188105
2.897,206030
2.901,227925
2.905,246077
2.908,255265
2.912,258257
2.916,260870
2.92,263004
2.923,259867
2.927,250511
2.931,238866
2.934,225686
2.938,210232
2.942,192520
2.945,173736
2.949,154722
2.953,135926
2.956,118539
2.96,103878
2.964,91410
2.968,80445
2.971,70617
2.975,62361
2.979,56201
2.982,51918
2.986,48563
2.99,45890
2.993,44187
2.997,43346
3.001,44189
3.005,47902
3.008,57164
3.012,75155
3.016,103964
3.019,141230
3.023,179796
3.027,212545
3.03,233101
3.034,237372
3.038,225669
3.041,203831
3.045,178253
3.049,153047
3.053,129914
3.056,109754
3.06,93146
3.064,79406
3.067,68495
3.071,59939
3.075,52971
3.078,47672
3.082,44521
3.086,42228
3.09,40129
3.093,38483
3.097,37352
3.101,36369
3.104,35621
3.108,35378
3.112,36363
3.115,37983
3.119,39225
3.123,39917
3.126,40395
3.13,40767
3.134,40999
3.138,42103
3.141,44885
3.145,49162
3.149,55119
3.152,61085
3.156,65879
3.16,68067
3.163,67914
3.167,66514
3.171,65137
3.175,64779
3.178,68081
3.182,79725
3.186,106128
3.189,154276
3.193,228711
3.197,326021
3.2,432352
3.204,529225
3.208,587151
3.211,597518
3.215,565528
3.219,506076
3.223,432663
3.226,367036
3.23,306357
3.234,253409
3.237,212357
3.241,178179
3.245,151259
3.248,130709
3.252,113999
3.256,99482
3.259,87504
3.263,77345
