Retention time,Abundance
0.087,10939
0.091,10656
0.094,11189
0.097,11180
0.1,10384
0.104,9444
0.107,9417
0.11,9519
0.113,9522
0.117,10262
0.12,10608
0.123,8547
0.127,10227
0.13,7330
0.133,8834
0.136,8990
0.14,7879
0.143,8414
0.146,8478
0.15,7622
0.153,8697
0.156,6150
0.159,9017
0.163,8172
0.166,8331
0.169,8010
0.172,8651
0.176,6884
0.179,6887
0.182,6557
0.186,7186
0.189,6562
0.192,7186
0.195,7634
0.199,5316
0.202,7191
0.205,4924
0.209,6992
0.212,6363
0.215,6606
0.218,6183
0.222,5772
0.225,5622
0.228,4935
0.232,6501
0.235,5798
0.238,4702
0.241,6011
0.245,5589
0.248,5193
0.251,5511
0.254,4950
0.258,5254
0.261,4849
0.264,4853
0.268,6051
0.271,5181
0.274,4660
0.277,5131
0.281,4583
0.284,4571
0.287,5848
0.291,4768
0.294,5322
0.297,4384
0.3,4616
0.304,4449
0.307,5219
0.31,4547
0.313,4283
0.317,4008
0.32,4899
0.323,3268
0.327,5521
0.33,4112
0.333,3285
0.336,4611
0.34,2800
0.343,3768
0.346,5265
0.35,4251
0.353,2844
0.356,4844
0.359,3202
0.363,3086
0.366,3978
0.369,2819
0.373,4038
0.376,3109
0.379,3833
0.382,3301
0.386,3705
0.389,3488
0.392,3786
0.395,4091
0.399,4312
0.402,3292
0.405,3380
0.409,3620
0.412,3638
0.415,2899
0.418,3255
0.422,3099
0.425,3333
0.428,3690
0.432,2560
0.435,3626
0.438,3370
0.441,3625
0.445,3028
0.448,3167
0.451,4194
0.455,3053
0.458,2757
0.461,2932
0.464,2696
0.468,3284
0.471,3510
0.474,2586
0.477,3014
0.481,3096
0.484,3041
0.487,2758
0.491,3307
0.494,2598
0.497,2949
0.5,3292
0.504,3203
0.507,3152
0.51,3336
0.514,3301
0.517,3189
0.52,2990
0.523,3337
0.527,3366
0.53,3278
0.533,3114
0.536,2978
0.54,2534
0.543,3378
0.546,3507
0.55,3274
0.553,2249
0.556,2839
0.559,2589
0.563,3172
0.566,3505
0.569,3124
0.573,3426
0.576,3118
0.579,3098
0.582,2695
0.586,3095
0.589,2898
0.592,3056
0.596,3264
0.599,2584
0.602,3349
0.605,3147
0.609,3063
0.612,3139
0.615,3699
0.618,3004
0.622,2499
0.625,3051
0.628,2770
0.632,2626
0.635,2406
0.638,2724
0.641,2914
0.645,2806
