Retention time,Abundance
1.995,7784790.000
1.999,7126653.000
2.002,6557040.000
2.006,6111518.000
2.010,5740324.000
2.014,5386218.000
2.018,5012017.000
2.022,4598655.000
2.025,4154555.000
2.029,3703040.000
2.033,3258858.000
2.037,2836694.000
2.041,2500960.000
2.044,2490923.000
2.048,3369934.000
2.052,5751142.000
2.056,9373490.000
2.060,12668119.000
2.063,13849793.000
2.067,12474772.000
2.071,9657036.000
2.075,6926461.000
2.079,5106136.000
2.083,4147668.000
2.086,3665026.000
2.090,3381918.000
2.094,3195471.000
2.098,3089162.000
2.102,3088729.000
2.105,3228114.000
2.109,3462298.000
2.113,3630475.000
2.117,3563745.000
2.121,3242943.000
2.124,2779896.000
2.128,2304008.000
2.132,1889748.000
2.136,1547691.000
2.140,1273618.000
2.144,1063846.000
2.147,904485.000
2.151,775042.000
2.155,669949.000
2.159,599794.000
2.163,635148.000
2.166,1011597.000
2.170,2151773.000
2.174,4331285.000
2.178,7117303.000
2.182,9327399.000
2.185,9879208.000
2.189,8693993.000
2.193,6666593.000
2.197,4836501.000
2.201,3676968.000
2.205,3081504.000
2.208,2798406.000
2.212,2689844.000
2.216,2707732.000
2.220,2786886.000
2.224,2829517.000
2.227,2797453.000
2.231,2760172.000
2.235,2816770.000
2.239,2966873.000
2.243,3076998.000
2.246,3032401.000
2.250,2921784.000
2.254,2968396.000
2.258,3247174.000
2.262,3489872.000
2.266,3424682.000
2.269,2983343.000
2.273,2359919.000
2.277,1873527.000
2.281,1713676.000
2.285,1853386.000
2.288,2150356.000
2.292,2370323.000
2.296,2379155.000
2.300,2194999.000
2.304,1936969.000
2.307,1697446.000
2.311,1500933.000
2.315,1363096.000
2.319,1323938.000
2.323,1405747.000
2.327,1553775.000
2.330,1663724.000
2.334,1652709.000
2.338,1510649.000
2.342,1286517.000
2.346,1048145.000
2.349,844036.000
2.353,691812.000
2.357,587673.000
2.361,519490.000
2.365,491972.000
2.368,551543.000
2.372,812425.000
2.376,1467233.000
2.380,2808764.000
2.384,5286731.000
2.388,9327896.000
2.391,14676560.000
2.395,19863272.000
2.399,22781698.000
2.403,23067964.000
2.407,20787164.000
2.410,17269886.000
2.414,13369451.000
2.418,10310478.000
2.422,8378246.000
2.426,7347453.000
2.429,6892584.000
2.433,6840868.000
2.437,7159025.000
2.441,7813194.000
2.445,8714514.000
2.449,9725928.000
2.452,10667930.000
2.456,11289305.000
2.460,11286121.000
2.464,10477429.000
2.468,9009219.000
2.471,7304847.000
2.475,5792085.000
2.479,4690175.000
2.483,4001682.000
2.487,3610704.000
2.490,3376710.000
2.494,3183867.000
2.498,2968679.000
2.502,2714510.000
2.506,2460109.000
2.510,2238943.000
2.513,2056346.000
2.517,1885951.000
2.521,1695588.000
2.525,1476201.000
2.529,1246844.000
2.532,1036099.000
2.536,861196.000
2.540,720789.000
2.544,606734.000
2.548,513600.000
2.551,437547.000
2.555,375397.000
2.559,323826.000
2.563,279514.000
2.567,240118.000
2.571,205446.000
2.574,175962.000
2.578,151524.000
2.582,131503.000
2.586,116956.000
2.590,108384.000
2.593,105435.000
2.597,106161.000
2.601,108505.000
2.605,108975.000
2.609,105416.000
2.612,97712.000
2.616,87578.000
2.620,77848.000
2.624,70448.000
2.628,67532.000
2.632,71109.000
2.635,81483.000
2.639,97524.000
2.643,115869.000
2.647,133674.000
2.651,150501.000
2.654,165716.000
2.658,177522.000
2.662,181067.000
2.666,173037.000
2.670,154063.000
2.673,131042.000
2.677,110399.000
2.681,95227.000
2.685,84997.000
2.689,78109.000
2.693,73509.000
2.696,71379.000
2.700,73566.000
2.704,82576.000
2.708,100088.000
2.712,128380.000
2.715,177330.000
2.719,276924.000
2.723,483471.000
2.727,860318.000
2.731,1432911.000
2.734,2132644.000
2.738,2792174.000
2.742,3216481.000
2.746,3304436.000
2.750,3090072.000
2.754,2685916.000
2.757,2225072.000
2.761,1811101.000
2.765,1490901.000
2.769,1259058.000
2.773,1089757.000
2.776,963180.000
2.780,868444.000
2.784,799617.000
2.788,748751.000
2.792,706025.000
2.795,664188.000
2.799,621961.000
2.803,578679.000
2.807,535749.000
2.811,495714.000
2.815,457909.000
2.818,420200.000
2.822,379438.000
2.826,336224.000
2.830,298786.000
2.834,284373.000
2.837,316502.000
2.841,440185.000
2.845,751534.000
2.849,1415781.000
2.853,2590997.000
2.856,4267570.000
