Retention time,Abundance
0.088,11307
0.091,11075
0.094,10501
0.097,9285
0.101,8303
0.104,9635
0.107,9754
0.111,8774
0.114,9631
0.117,7966
0.12,9084
0.124,9446
0.127,9842
0.13,8258
0.134,8053
0.137,7615
0.14,8669
0.143,7299
0.147,7139
0.15,8423
0.153,6536
0.156,7865
0.16,6166
0.163,7366
0.166,7111
0.17,6432
0.173,7334
0.176,6625
0.179,7256
0.183,6313
0.186,7032
0.189,6177
0.193,5395
0.196,6614
0.199,4668
0.202,6575
0.206,5788
0.209,6755
0.212,5620
0.216,6147
0.219,4549
0.222,5643
0.225,5742
0.229,5782
0.232,4396
0.235,5164
0.238,5431
0.242,5144
0.245,4165
0.248,4370
0.252,4834
0.255,5467
0.258,4490
0.261,4433
0.265,5141
0.268,4384
0.271,4260
0.275,4128
0.278,4508
0.281,3730
0.284,4326
0.288,3909
0.291,3531
0.294,3327
0.297,4603
0.301,3477
0.304,3549
0.307,3210
0.311,4439
0.314,3911
0.317,3384
0.32,4435
0.324,3753
0.327,3646
0.33,3917
0.334,3740
0.337,4024
0.34,3539
0.343,3595
0.347,3398
0.35,4034
0.353,2896
0.357,3157
0.36,3157
0.363,2994
0.366,3262
0.37,4360
0.373,2884
0.376,3764
0.379,3528
0.383,3159
0.386,3226
0.389,3218
0.393,3006
0.396,3299
0.399,3306
0.402,3583
0.406,3091
0.409,3164
0.412,2881
0.416,3381
0.419,2882
0.422,2509
0.425,3626
0.429,2611
0.432,3453
0.435,3191
0.439,3069
0.442,2787
0.445,2447
0.448,2628
0.452,3186
0.455,2603
0.458,3224
0.461,2425
0.465,3383
0.468,2739
0.471,2727
0.475,3276
0.478,2295
0.481,3082
0.484,2169
0.488,3099
0.491,3056
0.494,2639
0.498,3258
0.501,3245
0.504,2896
0.507,2720
0.511,2655
0.514,2428
0.517,2736
0.52,2959
0.524,2402
0.527,3476
0.53,2942
0.534,2811
0.537,3253
0.54,2795
0.543,2379
0.547,3258
0.55,3043
0.553,2475
0.557,2845
0.56,2782
0.563,2803
0.566,3153
0.57,3089
0.573,2526
0.576,2588
0.58,2797
0.583,2190
0.586,3197
0.589,2790
0.593,3023
0.596,2854
0.599,2904
0.602,2413
0.606,2162
0.609,2471
0.612,3000
0.616,2729
0.619,2892
0.622,2373
0.625,2806
0.629,2029
0.632,2446
0.635,2600
0.639,2548
0.642,2805
0.645,2350
0.648,2999
0.652,2828
0.655,3016
0.658,2188
0.661,2357
0.665,2192
0.668,2512
0.671,2644
0.675,2264
0.678,2880
0.681,2301
0.684,2523
0.688,2804
0.691,1933
0.694,2344
0.698,2753
0.701,2257
0.704,2326
0.707,1867
0.711,2777
0.714,2906
0.717,2676
0.721,2849
0.724,2453
0.727,2414
0.73,3042
0.734,2281
0.737,3004
0.74,2890
0.743,2648
0.747,2205
0.75,2506
0.753,2012
0.757,2453
0.76,2576
0.763,3177
0.766,2411
0.77,2129
0.773,2085
0.776,2467
0.78,2272
0.783,1883
0.786,2301
0.789,2872
0.793,2610
0.796,1974
0.799,3127
0.803,2576
0.806,2199
0.809,2148
0.812,2360
0.816,2377
0.819,2223
0.822,2661
0.825,1988
0.829,2588
0.832,2682
0.835,2290
0.839,2351
0.842,2807
0.845,2466
0.848,1429
0.852,2372
0.855,2195
0.858,2216
0.862,2521
0.865,2129
0.868,2831
0.871,2665
0.875,2088
0.878,2351
0.881,2711
0.885,2555
0.888,2840
0.891,2444
0.894,2231
0.898,2428
0.901,2697
0.904,2731
0.907,2050
0.911,2095
0.914,2979
0.917,2430
0.921,2496
0.924,2155
0.927,2347
0.93,2033
0.934,2398
0.937,2048
0.94,2901
0.944,2570
0.947,2452
0.95,2668
0.953,2267
0.957,2074
0.96,2204
0.963,1900
0.966,1821
0.97,2726
0.973,2131
0.976,2467
0.98,1758
0.983,2190
0.986,1972
0.989,2030
0.993,2365
0.996,2476
0.999,2579
1.003,2257
1.006,2605
1.009,2343
1.012,2149
1.016,2223
1.019,1938
1.022,2754
1.026,1953
1.029,1821
1.032,2088
1.035,2342
1.039,1892
1.042,2337
1.045,1664
1.048,2789
1.052,1507
1.055,2159
1.058,2201
1.062,2577
1.065,2209
1.068,2189
1.071,2823
1.075,2050
1.078,1850
1.081,2223
