Retention time,Abundance
2.494,3224735
2.498,2904398
2.502,2583764
2.505,2231782
2.509,1873844
2.513,1544852
2.517,1255278
2.52,1009221
2.524,818007
2.528,681159
2.531,586779
2.535,524260
2.539,483877
2.542,452657
2.546,416304
2.55,383613
2.554,336419
2.557,294200
2.561,258077
2.565,226230
2.568,196791
2.572,168952
2.576,144510
2.579,125584
2.583,112332
2.587,103703
2.59,98338
2.594,95730
2.598,95042
2.602,94366
2.605,92536
2.609,88387
2.613,82816
2.616,76827
2.62,71656
2.624,68079
2.627,66679
2.631,67583
2.635,73245
2.639,86817
2.642,105530
2.646,120155
2.65,124250
2.653,120023
2.657,112609
2.661,104783
2.664,97787
2.668,92343
2.672,89590
2.675,89653
2.679,92439
2.683,96899
2.687,101043
2.69,104568
2.694,106993
2.698,108191
2.701,106936
2.705,102281
2.709,94773
2.712,86366
2.716,78783
2.72,72670
2.724,69221
2.727,67415
2.731,68610
2.735,74862
2.738,88955
2.742,114137
2.746,152105
2.749,204796
2.753,270636
2.757,346405
2.76,428475
2.764,513935
2.768,598227
2.772,675248
2.775,718948
2.779,719989
2.783,669814
2.786,593818
2.79,509172
2.794,435068
2.797,375029
2.801,322866
2.805,273894
2.809,227690
2.812,187363
2.816,155394
2.82,131834
2.823,116394
2.827,108401
2.831,105981
2.834,106576
2.838,108681
2.842,111622
2.845,115052
2.849,118346
2.853,122113
2.857,126631
2.86,133081
2.864,142997
2.868,156798
2.871,174397
2.875,197687
2.879,234844
2.882,304924
2.886,432106
2.89,633463
2.894,906034
2.897,1216388
2.901,1510983
2.905,1744087
2.908,1901918
2.912,2004360
2.916,2101764
2.919,2225782
2.923,2400699
2.927,2600404
2.93,2762393
2.934,2819631
2.938,2741212
2.942,2549205
2.945,2306448
2.949,2083918
2.953,1921808
2.956,1820196
2.96,1751334
2.964,1675320
2.967,1556473
2.971,1383112
2.975,1173053
2.978,954080
2.982,748967
2.986,569618
2.99,431847
2.993,327304
2.997,248773
3.001,191150
3.004,150423
3.008,122793
3.012,107277
3.015,107516
3.019,133822
3.023,200635
3.027,325125
3.03,525408
3.034,796876
3.038,1128293
3.041,1497518
3.045,1875596
3.049,2222200
3.052,2483757
3.056,2597606
3.06,2523217
3.063,2273876
3.067,1916717
3.071,1530672
3.075,1175859
3.078,884370
3.082,660587
3.086,493205
3.089,365858
3.093,274256
3.097,208436
3.1,161905
3.104,128333
3.108,103372
3.112,84962
3.115,72237
3.119,64596
3.123,62634
3.126,65523
3.13,72067
3.134,82295
3.137,95690
3.141,111205
3.145,127403
3.148,142207
3.152,155386
3.156,169441
3.16,187604
3.163,212509
3.167,245591
3.171,286606
3.174,334672
3.178,388401
3.182,431479
3.185,455793
3.189,474922
3.193,513466
3.197,631646
3.2,929504
3.204,1499070
3.208,2404123
3.211,3627255
3.215,5071552
3.219,6595323
3.222,8047555
3.226,9255437
3.23,10025707
3.233,10209810
3.237,9760723
3.241,8762037
3.245,7419197
3.248,5981899
3.252,4653672
3.256,3548699
3.259,2693940
3.263,2058331
3.267,1589674
3.27,1240237
3.274,973727
3.278,766554
3.282,600146
3.285,473035
3.289,373603
3.293,298548
3.296,244942
3.3,207556
3.304,181723
3.307,164609
3.311,151952
3.315,140599
3.318,128204
3.322,114698
3.326,100465
3.33,86292
3.333,73241
3.337,64515
3.341,61228
3.344,61923
3.348,62301
3.352,60716
3.355,58440
3.359,56111
3.363,54022
3.367,51980
3.37,50753
3.374,51395
3.378,54547
3.381,59562
3.385,66796
3.389,75918
3.392,85560
3.396,94945
3.4,105903
3.403,123773
3.407,158751
3.411,224806
3.415,335142
3.418,499980
3.422,709917
3.426,952525
3.429,1205518
3.433,1432330
3.437,1588682
3.44,1637559
3.444,1570089
3.448,1410907
3.451,1203091
3.455,982434
3.459,777481
3.463,599148
3.466,459791
3.47,355572
3.474,275739
3.477,217088
3.481,181438
3.485,161446
3.488,154291
3.492,157412
3.496,170142
3.5,192650
3.503,226369
3.507,261595
3.511,303519
3.514,346072
3.518,374756
3.522,387603
3.525,380578
3.529,361188
3.533,329127
3.536,292351
3.54,256808
3.544,225411
3.548,199439
3.551,177935
3.555,159716
3.559,143740
3.562,131381
3.566,123508
3.57,119281
3.573,118173
3.577,117841
3.581,116213
3.585,111057
3.588,103935
3.592,96538
3.596,90640
3.599,86808
3.603,84902
3.607,83911
3.61,82672
3.614,79728
3.618,75647
3.621,73113
3.625,74752
3.629,82829
3.633,97981
3.636,119497
3.64,145137
3.644,170263
3.647,190623
3.651,204017
3.655,208730
3.658,206497
3.662,193059
3.666,171889
3.67,150755
3.673,130187
3.677,112690
3.681,99547
3.684,93286
3.688,92347
3.692,93585
3.695,95128
3.699,96057
3.703,95217
3.706,92723
3.71,89274
3.714,86849
3.718,86721
3.721,89600
3.725,94628
3.729,98551
3.732,99743
3.736,97902
3.74,92067
3.743,83310
3.747,73273
3.751,63522
3.755,55131
3.758,48880
3.762,44844
3.766,42233
3.769,40222
3.773,38591
3.777,37003
3.78,36443
3.784,36997
3.788,41334
3.791,51211
3.795,68737
3.799,96256
3.803,134321
3.806,181824
3.81,233685
3.814,282754
3.817,321250
3.821,344587
3.825,354462
3.828,355897
3.832,355905
3.836,361609
3.84,376035
3.843,402204
3.847,432492
3.851,465221
3.854,493423
3.858,509438
3.862,504153
3.865,482661
3.869,442698
3.873,389313
3.876,329224
3.88,269018
3.884,215769
3.888,166622
3.891,129017
3.895,100784
3.899,80363
3.902,65615
3.906,55496
3.91,48767
3.913,43855
3.917,39909
3.921,36458
3.924,33178
3.928,30612
3.932,28620
3.936,26788
3.939,25997
3.943,26020
3.947,26709
3.95,27974
3.954,30081
3.958,33109
3.961,36678
3.965,40782
3.969,45481
3.973,51700
3.976,60569
3.98,74005
3.984,98592
3.987,146718
3.991,237630
3.995,393317
3.998,630297
4.002,951033
4.006,1320932
4.009,1695478
4.013,2016340
4.017,2236206
4.021,2331097
4.024,2303759
4.028,2189133
4.032,2051707
4.035,1966339
4.039,1990948
4.043,2145652
4.046,2406521
4.05,2712302
4.054,2978665
4.058,3124160
4.061,3101557
4.065,2911661
4.069,2591292
4.072,2197470
4.076,1791233
4.08,1418121
4.083,1100437
4.087,841812
4.091,635111
4.094,481446
4.098,365036
4.102,276330
4.106,209401
4.109,159870
4.113,122885
4.117,95651
4.12,75541
4.124,61323
4.128,50750
4.131,43531
4.135,38222
4.139,34223
4.143,31384
4.146,29809
4.15,28535
4.154,27724
4.157,27200
4.161,26693
4.165,26878
4.168,27683
4.172,29443
4.176,33895
4.179,43472
4.183,61264
4.187,90391
4.191,135097
4.194,197406
4.198,274003
4.202,355301
4.205,432640
4.209,484472
4.213,509428
4.216,503588
4.22,470772
4.224,417177
4.228,352536
4.231,287817
4.235,228801
4.239,178998
4.242,138024
4.246,105889
4.25,81217
4.253,63254
4.257,50568
4.261,42047
4.264,36071
4.268,31640
4.272,28430
4.276,26340
4.279,25119
4.283,24489
4.287,24163
4.29,23528
4.294,23405
4.298,24499
4.301,27587
4.305,30881
4.309,32736
4.313,32808
4.316,32156
4.32,31825
4.324,31447
4.327,30562
4.331,30317
4.335,30855
4.338,32434
4.342,34838
4.346,38986
4.349,45202
4.353,54583
4.357,67361
4.361,84556
4.364,109241
4.368,149935
4.372,225358
4.375,372475
4.379,648677
4.383,1119841
4.386,1815108
4.39,2721487
4.394,3766570
4.397,4837504
4.401,5796962
4.405,6505054
4.409,6853203
4.412,6798624
4.416,6370398
4.42,5654382
4.423,4772241
4.427,3849135
4.431,2983139
4.434,2235216
4.438,1629747
4.442,1162143
4.446,813742
4.449,559338
4.453,383362
4.457,265506
4.46,191981
4.464,157304
4.468,169383
4.471,251549
4.475,447895
4.479,819556
4.482,1427644
4.486,2283208
4.49,3347416
4.494,4516103
4.497,5640157
4.501,6565442
4.505,7171814
4.508,7387944
4.512,7196835
4.516,6642418
4.519,5823555
4.523,4867448
4.527,3897315
4.531,3006290
4.534,2251602
4.538,1654897
4.542,1200626
4.545,871117
4.549,633601
4.553,464558
4.556,344241
4.56,258858
4.564,197080
4.567,151985
4.571,120758
4.575,100813
4.579,88007
4.582,79634
4.586,73188
4.59,68240
4.593,64465
4.597,61316
4.601,57957
4.604,54378
4.608,50890
4.612,48192
4.615,47789
4.619,52965
4.623,69373
4.627,106549
4.63,180739
4.634,310435
