"Path","File","Date Acquired","Sample","Misc"
"T:\Echantillotheque\Essences_supercarburants\ETUDE_SUPERCARBURANTS_svi\","Echantillon-6_hydro.D","26 Jun 2019  01:59    ","SP95-E10_CARREFOUR-ECULLY (69)","ACS dichlorométhane"
"INT TIC: SCELLE_SP95-E10_CAR_ECU_hydro.D\data.ms"
"Fri Jun 28 15:26:09 2019"
"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
  1,  2.650,   29,  43,  51,"BV  ",  64401,   781778,  0.23,  0.067
  2,  2.699,   51,  56,  66,"VV 3",  27016,   505438,  0.15,  0.043
  3,  2.780,   66,  78,  94,"PV 2", 974278, 18456917,  5.52,  1.584
  4,  2.904,   94, 112, 117,"VV 2",3466017, 71798704, 21.47,  6.162
  5,  2.935,  117, 120, 143,"VV 2",2839979, 69583860, 20.81,  5.972
  6,  3.059,  143, 154, 172,"VV  ",2766734, 51673471, 15.45,  4.435
  7,  3.190,  172, 189, 192,"VV 2", 375755,  7245699,  2.17,  0.622
  8,  3.236,  192, 202, 229,"VV  ",3690724, 79790381, 23.86,  6.848
  9,  3.442,  239, 258, 270,"VV  ",1515507, 29585558,  8.85,  2.539
 10,  3.526,  270, 280, 300,"VV 3", 246386,  7328496,  2.19,  0.629
 11,  3.663,  309, 317, 323,"VV 2",  79682,  1502158,  0.45,  0.129
 12,  3.702,  323, 328, 333,"VV  ",  49633,   853182,  0.26,  0.073
 13,  3.736,  333, 337, 352,"VV 3",  47605,  1038264,  0.31,  0.089
 14,  3.863,  352, 371, 396,"VV 3",1035803, 24287149,  7.26,  2.085
 15,  4.025,  396, 415, 420,"PV  ", 464209,  8167528,  2.44,  0.701
 16,  4.064,  420, 426, 451,"VV 2", 706677, 17624363,  5.27,  1.513
 17,  4.218,  451, 467, 482,"VV  ", 149050,  3160662,  0.95,  0.271
 18,  4.317,  489, 494, 500,"VV  ",   7724,   120312,  0.04,  0.010
 19,  4.414,  500, 520, 536,"VV  ",1274878, 27281929,  8.16,  2.342
 20,  4.513,  536, 547, 567,"VV  ",1427559, 31886539,  9.53,  2.737
 21,  4.601,  567, 571, 578,"VV  ",  36559,   709490,  0.21,  0.061
 22,  4.666,  578, 589, 614,"VV  ", 354545,  8517386,  2.55,  0.731
 23,  4.837,  614, 635, 666,"VV  ",14786260,334453819,100.00, 28.706
 24,  4.994,  666, 677, 695,"VV  ", 538966, 13335674,  3.99,  1.145
 25,  5.092,  695, 704, 727,"VV 3",  90057,  2816947,  0.84,  0.242
 26,  5.220,  727, 739, 750,"VV  ", 157200,  3287210,  0.98,  0.282
 27,  5.288,  750, 757, 765,"VV 2",  14120,   296442,  0.09,  0.025
