Retention time,Abundance
1.995,6938978.000
1.999,6158481.000
2.002,5366951.000
2.006,4755161.000
2.010,4345257.000
2.014,4039400.000
2.018,3753493.000
2.021,3454160.000
2.025,3134775.000
2.029,2799884.000
2.033,2463008.000
2.037,2139285.000
2.041,1856339.000
2.044,1736949.000
2.048,2175084.000
2.052,3838846.000
2.056,7026438.000
2.060,10777318.000
2.063,13160834.000
2.067,12874936.000
2.071,10341811.000
2.075,7148054.000
2.079,4669229.000
2.082,3292052.000
2.086,2676673.000
2.090,2402233.000
2.094,2259837.000
2.098,2204164.000
2.102,2277755.000
2.105,2564992.000
2.109,3077802.000
2.113,3626579.000
2.117,3895373.000
2.121,3700240.000
2.124,3132387.000
2.128,2439897.000
2.132,1828960.000
2.136,1382563.000
2.140,1091041.000
2.143,905711.000
2.147,778605.000
2.151,680891.000
2.155,602297.000
2.159,542261.000
2.163,528880.000
2.166,698387.000
2.170,1369697.000
2.174,2908588.000
2.178,5248486.000
2.182,7577972.000
2.185,8760132.000
2.189,8242422.000
2.193,6507717.000
2.197,4601572.000
2.201,3269213.000
2.204,2594884.000
2.208,2303492.000
2.212,2204307.000
2.216,2282903.000
2.220,2504315.000
2.224,2724697.000
2.227,2808723.000
2.231,2802842.000
2.235,2904585.000
2.239,3232970.000
2.243,3641787.000
2.246,3852660.000
2.250,3820753.000
2.254,3874801.000
2.258,4332371.000
2.262,5032785.000
2.266,5344970.000
2.269,4890324.000
2.273,3877724.000
2.277,2877975.000
2.281,2355312.000
2.285,2443358.000
2.288,2961182.000
2.292,3523431.000
2.296,3761361.000
2.300,3571152.000
2.304,3129564.000
2.307,2662872.000
2.311,2273752.000
2.315,1984438.000
2.319,1842051.000
2.323,1897930.000
2.327,2117599.000
2.330,2346658.000
2.334,2410417.000
2.338,2241017.000
2.342,1904720.000
2.346,1517598.000
2.349,1171534.000
2.353,910858.000
2.357,735457.000
2.361,623522.000
2.365,563065.000
2.368,579873.000
2.372,777428.000
2.376,1409076.000
2.380,3075202.000
2.384,6899060.000
2.388,13859595.000
2.391,22971252.000
2.395,31801438.000
2.399,37449656.000
2.403,39454852.000
2.407,38725880.000
2.410,35505852.000
2.414,29945840.000
2.418,23586302.000
2.422,18684752.000
2.426,15521833.000
2.429,13982783.000
2.433,13371508.000
2.437,13209712.000
2.441,13293542.000
2.445,13538878.000
2.449,13865470.000
2.452,14179806.000
2.456,14365681.000
2.460,14213329.000
2.464,13445576.000
2.468,11949340.000
2.471,9957173.000
2.475,7929086.000
2.479,6252842.000
2.483,5081387.000
2.487,4368119.000
2.490,3967586.000
2.494,3707545.000
2.498,3432924.000
2.502,3059921.000
2.506,2609686.000
2.510,2169980.000
2.513,1812049.000
2.517,1548079.000
2.521,1337219.000
2.525,1147869.000
2.529,968928.000
2.532,806331.000
2.536,668357.000
2.540,555774.000
2.544,466460.000
2.548,397375.000
2.551,342249.000
2.555,295334.000
2.559,254090.000
2.563,217652.000
2.567,185649.000
2.571,158122.000
2.574,135178.000
2.578,116194.000
2.582,101157.000
2.586,90337.000
2.590,84600.000
2.593,84243.000
2.597,88268.000
2.601,95456.000
2.605,102171.000
2.609,104074.000
2.612,99883.000
2.616,91475.000
2.620,81046.000
2.624,71669.000
2.628,67502.000
2.632,73251.000
2.635,91850.000
2.639,121587.000
2.643,156641.000
2.647,189961.000
2.651,217245.000
2.654,237814.000
2.658,253004.000
2.662,259803.000
2.666,251727.000
2.670,225410.000
2.673,186469.000
2.677,147492.000
2.681,118203.000
2.685,99346.000
2.689,87845.000
2.693,81103.000
2.696,77960.000
2.700,79421.000
2.704,89206.000
2.708,111728.000
2.712,151359.000
2.715,219677.000
2.719,351812.000
2.723,628173.000
2.727,1164164.000
2.731,2030251.000
2.734,3125549.000
2.738,4145366.000
2.742,4734673.000
2.746,4714313.000
2.750,4172251.000
2.754,3383005.000
2.757,2624391.000
2.761,2049025.000
2.765,1670488.000
2.769,1423321.000
2.773,1241303.000
2.776,1089950.000
2.780,961542.000
2.784,857627.000
2.788,775775.000
2.792,710046.000
2.795,656196.000
2.799,609604.000
2.803,567252.000
2.807,529869.000
2.811,499453.000
2.815,477553.000
2.818,456076.000
2.822,425682.000
2.826,384621.000
2.830,343476.000
2.834,321315.000
2.837,334919.000
2.841,390155.000
2.845,494255.000
2.849,688761.000
2.853,1077764.000
2.856,1796212.000
2.860,2898491.000
2.864,4223331.000
2.868,5389769.000
2.872,5986297.000
2.876,5823936.000
2.879,5033223.000
2.883,3964269.000
2.887,3037153.000
2.891,2661494.000
2.895,3197340.000
2.898,4840036.000
2.902,7392343.000
2.906,10169194.000
2.910,12277558.000
2.914,13015467.000
2.917,12235845.000
2.921,10388823.000
2.925,8243140.000
2.929,6536891.000
2.933,5681977.000
2.937,5655594.000
2.940,6088356.000
2.944,6484723.000
2.948,6485191.000
2.952,6000222.000
2.956,5177506.000
2.959,4252051.000
2.963,3409291.000
2.967,2735382.000
2.971,2236694.000
2.975,1875793.000
2.978,1607438.000
2.982,1397465.000
2.986,1223001.000
2.990,1070290.000
2.994,931988.000
2.998,805710.000
3.001,695378.000
3.005,610771.000
3.009,571549.000
3.013,623186.000
3.017,875442.000
3.020,1552239.000
3.024,2967663.000
3.028,5323225.000
3.032,8415089.000
3.036,11520157.000
3.039,13703942.000
3.043,14311763.000
3.047,13257758.000
3.051,11006270.000
3.055,8336487.000
3.059,5966052.000
3.062,4264260.000
3.066,3243226.000
3.070,2714525.000
3.074,2467362.000
3.078,2340542.000
3.081,2240711.000
3.085,2127069.000
3.089,1982410.000
3.093,1800760.000
3.097,1595317.000
3.100,1383412.000
3.104,1176612.000
3.108,984356.000
3.112,820910.000
3.116,701841.000
3.120,638557.000
3.123,634984.000
3.127,681743.000
3.131,750888.000
3.135,798215.000
3.139,787290.000
3.142,710267.000
3.146,596026.000
3.150,502024.000
3.154,496620.000
3.158,652006.000
3.161,1017622.000
3.165,1571583.000
3.169,2188373.000
3.173,2677660.000
3.177,2875718.000
3.181,2739932.000
3.184,2374698.000
3.188,1971210.000
3.192,1713464.000
3.196,1718500.000
3.200,2023579.000
3.203,2627091.000
3.207,3561274.000
3.211,4902594.000
3.215,6654034.000
3.219,8593142.000
3.222,10266243.000
3.226,11195160.000
3.230,11125350.000
3.234,10121019.000
3.238,8508075.000
3.242,6736776.000
3.245,5216221.000
3.249,4176270.000
3.253,3637154.000
3.257,3481328.000
3.261,3536917.000
3.264,3629637.000
3.268,3618774.000
3.272,3433121.000
3.276,3083670.000
3.280,2638135.000
3.283,2180143.000
3.287,1777327.000
3.291,1463309.000
3.295,1241448.000
3.299,1093694.000
3.303,993220.000
3.306,914791.000
3.310,837482.000
3.314,746671.000
3.318,640814.000
3.322,529473.000
3.325,425325.000
3.329,337764.000
3.333,269993.000
3.337,220219.000
3.341,185641.000
3.344,162219.000
3.348,144874.000
3.352,130447.000
3.356,117110.000
3.360,104868.000
3.364,93432.000
3.367,84233.000
3.371,81648.000
3.375,91901.000
3.379,123051.000
3.383,180682.000
3.386,262569.000
3.390,353848.000
3.394,429417.000
3.398,464071.000
3.402,448326.000
3.405,394813.000
3.409,340561.000
3.413,354058.000
3.417,557333.000
3.421,1148380.000
3.425,2351757.000
3.428,4262402.000
3.432,6652271.000
3.436,8974866.000
3.440,10593104.000
3.444,11075219.000
3.447,10379289.000
3.451,8830626.000
3.455,6942640.000
3.459,5188951.000
3.463,3850608.000
3.466,2967736.000
3.470,2473178.000
3.474,2256030.000
3.478,2231733.000
3.482,2340674.000
3.486,2520033.000
3.489,2695216.000
3.493,2788454.000
3.497,2766401.000
3.501,2658695.000
3.505,2566167.000
3.508,2596672.000
3.512,2791551.000
3.516,3093874.000
3.520,3369147.000
3.524,3474079.000
3.527,3338145.000
3.531,2997442.000
3.535,2560862.000
3.539,2146152.000
3.543,1832033.000
3.547,1634868.000
3.550,1512397.000
3.554,1404006.000
3.558,1275473.000
3.562,1129487.000
3.566,993436.000
3.569,897240.000
3.573,853938.000
3.577,850979.000
3.581,854908.000
3.585,833567.000
3.588,769120.000
3.592,675383.000
3.596,580423.000
3.600,513874.000
3.604,489088.000
3.608,498215.000
3.611,518612.000
3.615,523460.000
