T:\DATA_2019\Etude_supercarburants_SVI\ech_01_hydro.D Fri Jan 10 12:35:05 2020,
Start of data points,Area
1.9948,6938978
1.99862,6158481
2.00242,5366951
2.00623,4755161
2.01005,4345257
2.01387,4039400
2.01767,3753493
2.02148,3454160
2.0253,3134775
2.02912,2799884
2.03292,2463008
2.03673,2139285
2.04055,1856339
2.04437,1736949
2.04817,2175084
2.05198,3838846
2.0558,7026438
2.05962,1.08E+07
2.06343,1.32E+07
2.06723,1.29E+07
2.07105,1.03E+07
2.07487,7148054
2.07868,4669229
2.08248,3292052
2.0863,2676673
2.09012,2402233
2.09393,2259837
2.09773,2204164
2.10155,2277755
2.10537,2564992
2.10918,3077802
2.11298,3626579
2.1168,3895373
2.12062,3700240
2.12443,3132387
2.12823,2439897
2.13205,1828960
2.13587,1382563
2.13968,1091041
2.14348,905711
2.1473,778605
2.15112,680891
2.15493,602297
2.15873,542261
2.16255,528880
2.16637,698387
2.17018,1369697
2.174,2908588
2.1778,5248486
2.18162,7577972
2.18543,8760132
2.18925,8242422
2.19305,6507717
2.19687,4601572
2.20068,3269213
2.2045,2594884
2.2083,2303492
2.21212,2204307
2.21593,2282903
2.21975,2504315
2.22355,2724697
2.22737,2808723
2.23118,2802842
2.235,2904585
2.2388,3232970
2.24262,3641787
2.24643,3852660
2.25025,3820753
2.25405,3874801
2.25787,4332371
2.26168,5032785
2.2655,5344970
2.2693,4890324
2.27312,3877724
2.27693,2877975
2.28075,2355312
2.28457,2443358
2.28837,2961182
2.29218,3523431
2.296,3761361
2.29982,3571152
2.30362,3129564
2.30743,2662872
2.31125,2273752
2.31507,1984438
2.31887,1842051
2.32268,1897930
2.3265,2117599
2.33032,2346658
2.33412,2410417
2.33793,2241017
2.34175,1904720
2.34557,1517598
2.34937,1171534
2.35318,910858
2.357,735457
2.36082,623522
2.36462,563065
2.36843,579873
2.37225,777428
2.37607,1409076
2.37987,3075202
2.38368,6899060
2.3875,1.39E+07
2.39132,2.30E+07
2.39513,3.18E+07
2.39893,3.74E+07
2.40275,3.95E+07
2.40657,3.87E+07
2.41038,3.55E+07
2.41418,2.99E+07
2.418,2.36E+07
2.42182,1.87E+07
2.42563,1.55E+07
2.42943,1.40E+07
2.43325,1.34E+07
2.43707,1.32E+07
2.44088,1.33E+07
2.44468,1.35E+07
2.4485,1.39E+07
2.45232,1.42E+07
2.45613,1.44E+07
2.45993,1.42E+07
2.46375,1.34E+07
2.46757,1.19E+07
2.47138,9957173
2.47518,7929086
2.479,6252842
2.48282,5081387
2.48663,4368119
2.49043,3967586
2.49425,3707545
2.49807,3432924
2.50188,3059921
2.50568,2609686
2.5095,2169980
2.51332,1812049
2.51713,1548079
2.52095,1337219
2.52475,1147869
2.52857,968928
2.53238,806331
2.5362,668357
2.54,555774
2.54382,466460
2.54763,397375
2.55145,342249
2.55525,295334
2.55907,254090
2.56288,217652
2.5667,185649
2.5705,158122
2.57432,135178
2.57813,116194
2.58195,101157
2.58575,90337
2.58957,84600
2.59338,84243
2.5972,88268
2.601,95456
2.60482,102171
2.60863,104074
2.61245,99883
2.61625,91475
2.62007,81046
2.62388,71669
2.6277,67502
2.63152,73251
2.63532,91850
2.63913,121587
2.64295,156641
2.64677,189961
2.65057,217245
2.65438,237814
2.6582,253004
2.66202,259803
2.66582,251727
2.66963,225410
2.67345,186469
2.67727,147492
2.68107,118203
2.68488,99346
2.6887,87845
2.69252,81103
2.69632,77960
2.70013,79421
2.70395,89206
2.70777,111728
2.71157,151359
2.71538,219677
2.7192,351812
2.72302,628173
2.72682,1164164
2.73063,2030251
2.73445,3125549
2.73827,4145366
2.74208,4734673
2.74588,4714313
2.7497,4172251
2.75352,3383005
2.75733,2624391
2.76113,2049025
2.76495,1670488
2.76877,1423321
2.77258,1241303
